"","year_id","wood_cover","tES.div","tLU.div","native.wood.ext","consv.ext","int.agri.ext","int.timb.ext","estates.ext","ext.agri.ext"
"56",2075,34.5565227978328,0.617616416785096,0.883825311701757,5420,19106,12476,1799,35690,7551
"57",2076,34.6746210507092,0.617749212825334,0.884204170885719,5431,19120,12322,1799,35693,7677
"58",2077,34.8426371218116,0.618013530747458,0.884462431949556,5443,19133,12200,1799,35694,7762
"59",2078,35.0435259024776,0.618392335535978,0.884873004294233,5457,19151,12009,1798,35700,7890
"60",2079,35.2785049004687,0.61881451851985,0.885205898947026,5483,19183,11814,1797,35707,8026
"61",2080,35.6169720581969,0.619383043765626,0.885629927246481,5520,19223,11562,1797,35710,8176
"62",2081,36.0796250076094,0.620124595182787,0.886088791076346,5574,19299,11231,1796,35731,8353
"63",2082,36.6421135934742,0.621047170790056,0.886524652481005,5627,19403,10783,1795,35779,8591
"64",2083,37.0804163876545,0.621801958148016,0.886815514618322,5672,19465,10436,1794,35787,8778
"65",2084,37.3896633591039,0.622502065349298,0.887036548864817,5742,19546,10111,1793,35780,8977
"66",2085,37.5978571863396,0.623139506959359,0.887106334954069,5798,19613,9808,1791,35756,9203
"67",2086,37.7293480245937,0.623673445368196,0.887216228611359,5819,19636,9496,1791,35716,9500
"68",2087,38.2358312534242,0.624092581735248,0.887074336593995,5842,19782,8857,1794,35796,9757
"69",2088,38.3661045839167,0.624327012106265,0.886830946512524,5842,19785,8796,1793,35799,9729
"70",2089,38.3661045839167,0.624661087636373,0.886728567947278,5842,19785,8460,1793,35786,10117
"71",2090,38.716746819261,0.625731637771343,0.88668821164508,5874,19820,8122,1800,35547,10516
"72",2091,38.8945029524563,0.626505608832951,0.886303030640821,5911,19859,7764,1800,35478,10912
"73",2092,39.271930358556,0.627907582266975,0.886187948845508,5957,19904,7498,1802,35250,11280
"74",2093,39.5178669264017,0.628953912137418,0.885865302692333,6019,19962,7254,1802,35099,11584
"75",2094,39.7345833079686,0.629958969473039,0.885450894683099,6054,19991,7022,1802,34965,11887
"76",2095,40.0742679734583,0.631258659893065,0.885187122630821,6083,20010,6802,1802,34776,12187
"77",2096,40.4005600535703,0.632502640473796,0.884657420260848,6135,20055,6521,1803,34624,12492
"78",2097,40.7378097035369,0.634080018102542,0.884135116175696,6177,20086,6229,1803,34412,12840
"79",2098,41.22359530042,0.635609458995572,0.883844897663959,6274,20174,6014,1803,34228,13039
"80",2099,41.2856881962623,0.636345441392554,0.8834777571497,6306,20199,5805,1803,34085,13337
"81",2100,41.5766725512875,0.636811589476349,0.883498678093931,6363,20257,5687,1803,34031,13402
